id,type,title,time,,,,,Results,,,,,
O9JnC,mist_file_light_1.txt,Process Start,1.49E+12,,,,,2.253,0.207,0.247,2.346,0.245,0.261
O9JnC,mist_file_light_1.txt,Recieved deployment ,1.49E+12,2.253,,,,,,,,,
O9JnC,mist_file_light_1.txt,Started deployment to Camunda,1.49E+12,,,,,9.585,8.513,6.169,10.528,34.77,28.988
O9JnC,mist_file_light_1.txt,Finished deployment to Camunda,1.49E+12,9.585,,,,,,,,,
O9JnC,mist_file_light_1.txt,Image Fetch Started,1.49E+12,,,,,0.468,0.499,16.301,14.159,0.527,0.502
O9JnC,mist_file_light_1.txt,Image Fetch complete,1.49E+12,0.468,,,,,,,,,
O9JnC,mist_file_light_1.txt,Mist-docker  started,1.49E+12,,,,,91.643,67.182,49.799,73.806,44.722,42.3
O9JnC,mist_file_light_1.txt,Mist-docker  completed,1.49E+12,91.643,,,,,,,,,
O9JnC,mist_file_light_1.txt,Sending response to callback,1.49E+12,,,,,0.031,0.011,0.014,0.019,0.019,0.027
O9JnC,mist_file_light_1.txt,Call back recieved,1.49E+12,0.031,,,,103.98,76.412,72.53,100.858,80.283,72.078
O9JnC,mist_file_light_1.txt,Process End,1.49E+12,,,,,,,,,,
,,,,,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Process Start,1.49E+12,,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Recieved deployment ,1.49E+12,0.207,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Started deployment to Camunda,1.49E+12,,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Finished deployment to Camunda,1.49E+12,8.513,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Image Fetch Started,1.49E+12,,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Image Fetch complete,1.49E+12,0.499,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Mist-docker  started,1.49E+12,,,,,,,,,,
Zf6J0,mist_file_light_1.txt,Mist-docker  completed,1.49E+12,67.182,,,,,,,,,
